"team_name","team_selection2_name","team_selection2_year","team_selection2_selection3_name","team_selection2_selection3_Date","team_selection2_selection3_Event","team_selection2_selection3_Time","team_selection2_selection3_Place"
"Baylor","Ammons, Lauren","FR-1","Arturo Barrios Invitational","Oct 13, 2018","6K","24:17.2","172nd"
"Baylor","Ammons, Lauren","FR-1","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","19:57.5","57th"
"Baylor","Andrews-Paul, Alison","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 09, 2018","6K","21:49.2","33rd"
"Baylor","Andrews-Paul, Alison","JR-3","Big 12 Cross Country Championships","Oct 26, 2018","6K","21:46.9","46th"
"Baylor","Andrews-Paul, Alison","JR-3","Wisconsin Pre Nationals","Oct 13, 2018","6K","22:03.6","135th"
"Baylor","Andrews-Paul, Alison","JR-3","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","17:58.5","64th"
"Baylor","Andrews-Paul, Alison","JR-3","UTA Gerald Richey Invitational","Sep 07, 2018","3.12M","18:08.8","1st"
"Baylor","Andrews-Paul, Alison","JR-3","Bear Twilight","Aug 31, 2018","4K","13:48.2","3rd"
"Baylor","Andrews-Paul, Alison","JR-3","Big 12 Conference Outdoor Track and Field Championships","05/11 - May 13, 2018","800","2:09.88","12th (P)"
"Baylor","Andrews-Paul, Alison","JR-3","National Relay Championships","04/27 - Apr 28, 2018","4x800","8:29.98","2nd (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Michael Johnson Invitational","Apr 21, 2018","800","2:10.13","4th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Baylor Invitational","Apr 07, 2018","400","59.78","13th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Home Depot Clyde Littlefield Texas Relays","03/28 - Mar 31, 2018","4x800","8:48.44","3rd (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Roadrunner Invitational","03/22 - Mar 24, 2018","4x400","3:49.64","8th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","2018 TCU Invitational","03/16 - Mar 17, 2018","400","57.24","14th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Big 12 Indoor Track & Field Championships","02/23 - Feb 24, 2018","1000","2:49.45","3rd (P)"
"Baylor","Andrews-Paul, Alison","JR-3","Iowa State Classic","02/09 - Feb 10, 2018","800","2:06.84","6th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Michigan Power 5 Invitational","02/02 - Feb 03, 2018","DMR","11:12.38","5th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Texas A&M Quadrangular","Jan 20, 2018","4x400","3:59.15","8th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Corky Classic","Jan 13, 2018","4x400","3:46.80","7th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 10, 2017","6K","22:18.0","100th"
"Baylor","Andrews-Paul, Alison","JR-3","2017 Big 12 Cross Country Championship","Oct 28, 2017","6K","22:37.6","68th"
"Baylor","Andrews-Paul, Alison","JR-3","Nuttycombe Wisconsin Invitational Presented By Under Armour","Oct 13, 2017","6K","23:47.9","223rd"
"Baylor","Andrews-Paul, Alison","JR-3","Joe Piane Notre Dame Invitational","Sep 29, 2017","5K","19:18.5","150th"
"Baylor","Andrews-Paul, Alison","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","19:38.6","9th"
"Baylor","Andrews-Paul, Alison","JR-3","SMU vs Baylor (Women)","Sep 01, 2017","4K","14:23.0","16th"
"Baylor","Andrews-Paul, Alison","JR-3","TCU vs Baylor","Sep 01, 2017","4K","14:23.0","17th"
"Baylor","Andrews-Paul, Alison","JR-3","Big 12 Indoor Track & Field Championships","02/24 - Feb 25, 2017","DMR","11:44.73","6th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","2017 Alex Wilson Invitational","Feb 18, 2017","DMR","11:05.68","7th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Iowa State Classic","02/10 - Feb 11, 2017","800","2:07.60","13th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Charlie Thomas Invitational","02/03 - Feb 04, 2017","4x400","3:45.43","7th (F)"
"Baylor","Andrews-Paul, Alison","JR-3","2017 Rod McCravy Memorial T&F Meet","01/20 - Jan 21, 2017","DMR","11:12.39","1st (F)"
"Baylor","Andrews-Paul, Alison","JR-3","Texas A&M Team Invitational","01/13 - Jan 14, 2017","DMR","11:33.64","2nd (F)"
"Baylor","Andrews-Paul, Alison","JR-3","2016 Big 12 Cross Country Championships","Oct 29, 2016","6K","DNF","91st"
"Baylor","Andrews-Paul, Alison","JR-3","Nuttycombe Wisconsin Invitational B Race","Oct 14, 2016","6K","23:41.1","107th"
"Baylor","Andrews-Paul, Alison","JR-3","Joe Piane Invitational","Sep 30, 2016","5K","18:37.7","32nd"
"Baylor","Andrews-Paul, Alison","JR-3","Baylor vs SMU (Women)","Sep 01, 2016","4K","15:07.2","23rd"
"Baylor","Antrich, Sarah","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","6K","22:18.3","51st"
"Baylor","Antrich, Sarah","SO-2","Big 12 Cross Country Championships","Oct 26, 2018","6K","24:14.3","86th"
"Baylor","Antrich, Sarah","SO-2","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","18:24.3","93rd"
"Baylor","Antrich, Sarah","SO-2","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","18:48.2","4th"
"Baylor","Antrich, Sarah","SO-2","Bear Twilight","Aug 31, 2018","4K","14:26.7","11th"
"Baylor","Antrich, Sarah","SO-2","Michael Johnson Invitational","Apr 21, 2018","1500","4:46.15","14th (F)"
"Baylor","Antrich, Sarah","SO-2","Baylor Invitational","Apr 7, 2018","3000","10:13.84","3rd (F)"
"Baylor","Antrich, Sarah","SO-2","Roadrunner Invitational","Mar 22-24, 2018","3000","DNF",""
"Baylor","Antrich, Sarah","SO-2","Big 12 Indoor Track & Field Championships","Feb 23-24, 2018","3000","10:15.51","36th (F)"
"Baylor","Antrich, Sarah","SO-2","Iowa State Classic","Feb 9-10, 2018","5000","17:43.71","23rd (F)"
"Baylor","Antrich, Sarah","SO-2","Michigan Power 5 Invitational","Feb 2-3, 2018","3000","10:09.95","15th (F)"
"Baylor","Antrich, Sarah","SO-2","Texas A&M Quadrangular","Jan 20, 2018","3000","10:15.64","10th (F)"
"Baylor","Antrich, Sarah","SO-2","Corky Classic","Jan 13, 2018","3000","10:29.83","2nd (F)"
"Baylor","Antrich, Sarah","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 10, 2017","6K","21:34.6","60th"
"Baylor","Antrich, Sarah","SO-2","2017 Big 12 Cross Country Championship","Oct 28, 2017","6K","22:14.3","60th"
"Baylor","Curran, Emily","JR-3","Arturo Barrios Invitational","Oct 13, 2018","6K","27:20.8","214th"
"Baylor","Curran, Emily","JR-3","Michael Johnson Invitational","Apr 21, 2018","800","2:25.79","27th (F)"
"Baylor","Curran, Emily","JR-3","Baylor Invitational","Apr 7, 2018","800","2:28.35","20th (F)"
"Baylor","Curran, Emily","JR-3","Michael Johnson Invitational","Apr 22, 2017","1500","5:16.15","30th (F)"
"Baylor","Curran, Emily","JR-3","Baylor Invitational","Apr 8, 2017","1500","5:26.76","12th (F)"
"Baylor","Curran, Emily","JR-3","2017 TCU Invitational","Mar 17-18, 2017","1500","5:34.18","24th (F)"
"Baylor","Curran, Emily","JR-3","Aggieland Open","Oct 7, 2016","5K","21:58.9","48th"
"Baylor","Curran, Emily","JR-3","Texas A&M Invitational","Sep 24, 2016","6K","25:47.2","145th"
"Baylor","Curran, Emily","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","21:22.4","55th"
"Baylor","Curran, Emily","JR-3","Baylor vs SMU (Women)","Sep 1, 2016","4K","16:51.4","70th"
"Baylor","Dillon, Amanda","JR-3","Big 12 Conference Outdoor Track and Field Championships","May 11-13, 2018","800","2:18.28","25th (P)"
"Baylor","Dillon, Amanda","JR-3","Michael Johnson Invitational","Apr 21, 2018","800","2:18.40","22nd (F)"
"Baylor","Dillon, Amanda","JR-3","Baylor Invitational","Apr 7, 2018","800","2:23.69","15th (F)"
"Baylor","Dillon, Amanda","JR-3","Roadrunner Invitational","Mar 22-24, 2018","800","2:18.15","19th (F)"
"Baylor","Dillon, Amanda","JR-3","2018 TCU Invitational","Mar 16-17, 2018","400","1:00.52","20th (F)"
"Baylor","Dillon, Amanda","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","20:18.5","40th"
"Baylor","Dillon, Amanda","JR-3","Baylor vs SMU (Women)","Sep 1, 2016","4K","16:04.1","56th"
"Baylor","Dillon, Amanda","JR-3","Big 12 Outdoor Track & Field Championships","May 13-15, 2016","800","2:14.07","19th (P)"
"Baylor","Dillon, Amanda","JR-3","Michael Johnson Classic","Apr 23, 2016","4x400","3:43.38","6th (F)"
"Baylor","Dillon, Amanda","JR-3","2016 Baylor Invitational","Apr 9, 2016","4x400","3:51.31","7th (F)"
"Baylor","Dillon, Amanda","JR-3","2016 Nike Clyde Littlefield Texas Relays","Mar 30 - Apr 2, 2016","4x800","8:53.57","2nd (F)"
"Baylor","Dillon, Amanda","JR-3","Ricardo Romo Invitational","Mar 24-26, 2016","4x400","3:51.23","5th (F)"
"Baylor","Dillon, Amanda","JR-3","Big 12 Indoor Track & Field Championships","Feb 26-27, 2016","DMR","11:42.79","7th (F)"
"Baylor","Dillon, Amanda","JR-3","Charlie Thomas Invitational","Feb 5-6, 2016","4x400","3:52.22","14th (F)"
"Baylor","Dillon, Amanda","JR-3","2016 Rod McCravy Memorial Track & Field Meet","Jan 22-23, 2016","4x400","3:54.96","14th (F)"
"Baylor","Dillon, Amanda","JR-3","Texas A&M Team Invitational","Jan 15-16, 2016","4x400","3:57.43","17th (F)"
"Baylor","Everroad, Haley","SR-4","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","6K","22:57.5","84th"
"Baylor","Everroad, Haley","SR-4","Big 12 Cross Country Championships","Oct 26, 2018","6K","22:46.1","69th"
"Baylor","Everroad, Haley","SR-4","Arturo Barrios Invitational","Oct 13, 2018","6K","23:26.4","135th"
"Baylor","Everroad, Haley","SR-4","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","19:46.3","10th"
"Baylor","Everroad, Haley","SR-4","Bear Twilight","Aug 31, 2018","4K","15:20.3","36th"
"Baylor","Everroad, Haley","SR-4","Michael Johnson Invitational","Apr 21, 2018","5000","19:29.39","9th (F)"
"Baylor","Everroad, Haley","SR-4","Texas A&M Quadrangular","Jan 20, 2018","3000","10:34.54","15th (F)"
"Baylor","Everroad, Haley","SR-4","2017 Big 12 Cross Country Championship","Oct 28, 2017","6K","23:10.7","82nd"
"Baylor","Everroad, Haley","SR-4","Joe Piane Notre Dame Invitational","Sep 29, 2017","5K","19:21.1","151st"
"Baylor","Everroad, Haley","SR-4","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","20:10.9","17th"
"Baylor","Everroad, Haley","SR-4","Michael Johnson Invitational","Apr 22, 2017","5000","18:35.87","15th (F)"
"Baylor","Everroad, Haley","SR-4","Baylor Invitational","Apr 8, 2017","3000","10:44.44","8th (F)"
"Baylor","Everroad, Haley","SR-4","2017 TCU Invitational","Mar 17-18, 2017","3000","10:58.31","17th (F)"
"Baylor","Everroad, Haley","SR-4","Aggieland Open","Oct 7, 2016","5K","20:13.4","25th"
"Baylor","Everroad, Haley","SR-4","Texas A&M Invitational","Sep 24, 2016","6K","24:27.0","115th"
"Baylor","Everroad, Haley","SR-4","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","19:52.1","28th"
"Baylor","Everroad, Haley","SR-4","Baylor vs SMU (Women)","Sep 1, 2016","4K","15:16.4","32nd"
"Baylor","Gandy, Sydney","JR-3","UTA Gerald Richey Invitational","Sep 07, 2018","3.12M","20:28.3","14th"
"Baylor","Gandy, Sydney","JR-3","Bear Twilight","Aug 31, 2018","4K","15:55.1","49th"
"Baylor","Gandy, Sydney","JR-3","Michael Johnson Invitational","Apr 21, 2018","800","2:19.81","23rd (F)"
"Baylor","Gandy, Sydney","JR-3","Baylor Invitational","Apr 07, 2018","800","2:26.45","19th (F)"
"Baylor","Gandy, Sydney","JR-3","2018 TCU Invitational","03/16 - Mar 17, 2018","1500","5:15.61","25th (F)"
"Baylor","Gandy, Sydney","JR-3","Texas A&M Quadrangular","Jan 20, 2018","800","2:19.93","16th (F)"
"Baylor","Gandy, Sydney","JR-3","Corky Classic","Jan 13, 2018","Mile","5:44.28","7th (F)"
"Baylor","Gandy, Sydney","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","21:49.1","30th"
"Baylor","Gandy, Sydney","JR-3","SMU vs Baylor (Women)","Sep 01, 2017","4K","16:08.1","59th"
"Baylor","Gandy, Sydney","JR-3","TCU vs Baylor","Sep 01, 2017","4K","16:08.1","60th"
"Baylor","Gandy, Sydney","JR-3","Michael Johnson Invitational","Apr 22, 2017","4x400","4:00.66","17th (F)"
"Baylor","Gandy, Sydney","JR-3","Baylor Invitational","Apr 08, 2017","800","2:25.42","16th (F)"
"Baylor","Gandy, Sydney","JR-3","2017 TCU Invitational","03/17 - Mar 18, 2017","1500","5:10.58","19th (F)"
"Baylor","Gandy, Sydney","JR-3","Charlie Thomas Invitational","02/03 - Feb 04, 2017","800","2:21.25","14th (F)"
"Baylor","Gandy, Sydney","JR-3","Texas A&M Team Invitational","01/13 - Jan 14, 2017","DMR","12:26.66","6th (F)"
"Baylor","Gandy, Sydney","JR-3","Aggieland Open","Oct 07, 2016","5K","21:36.3","43rd"
"Baylor","Gandy, Sydney","JR-3","Texas A&M Invitational","Sep 24, 2016","6K","24:49.3","126th"
"Baylor","Gandy, Sydney","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","22:15.1","60th"
"Baylor","Gandy, Sydney","JR-3","Baylor vs SMU (Women)","Sep 01, 2016","4K","16:32.5","65th"
"Baylor","Gilmore, Brooke","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 09, 2018","6K","22:13.4","48th"
