"team_name","team_selection2_name","team_selection2_year","team_selection2_selection3_name","team_selection2_selection3_Date","team_selection2_selection3_Event","team_selection2_selection3_Time","team_selection2_selection3_Place"
"Baylor","Gilmore, Brooke","SO-2","Big 12 Cross Country Championships","Oct 26, 2018","6K","21:35.7","36th"
"Baylor","Gilmore, Brooke","SO-2","Wisconsin Pre Nationals","Oct 13, 2018","6K","22:27.6","165th"
"Baylor","Gilmore, Brooke","SO-2","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","18:11.4","79th"
"Baylor","Gilmore, Brooke","SO-2","UTA Gerald Richey Invitational","Sep 07, 2018","3.12M","18:47.5","2nd"
"Baylor","Gilmore, Brooke","SO-2","Bear Twilight","Aug 31, 2018","4K","14:07.0","7th"
"Baylor","Gilmore, Brooke","SO-2","Big 12 Conference Outdoor Track and Field Championships","05/11 - May 13, 2018","10,000","35:50.13","6th (F)"
"Baylor","Gilmore, Brooke","SO-2","Michael Johnson Invitational","Apr 21, 2018","1500","4:45.03","13th (F)"
"Baylor","Gilmore, Brooke","SO-2","Stanford Invitational","03/30 - Mar 31, 2018","5000","17:02.95","6th (F)"
"Baylor","Gilmore, Brooke","SO-2","Roadrunner Invitational","03/22 - Mar 24, 2018","3000","10:03.71","1st (F)"
"Baylor","Gilmore, Brooke","SO-2","Big 12 Indoor Track & Field Championships","02/23 - Feb 24, 2018","5000","16:59.32","12th (F)"
"Baylor","Gilmore, Brooke","SO-2","Iowa State Classic","02/09 - Feb 10, 2018","5000","16:49.00","5th (F)"
"Baylor","Gilmore, Brooke","SO-2","Michigan Power 5 Invitational","02/02 - Feb 03, 2018","3000","9:49.81","6th (F)"
"Baylor","Gilmore, Brooke","SO-2","Texas A&M Quadrangular","Jan 20, 2018","Mile","5:11.15","11th (F)"
"Baylor","Gilmore, Brooke","SO-2","Corky Classic","Jan 13, 2018","3000","10:18.86","1st (F)"
"Baylor","Gilmore, Brooke","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 10, 2017","6K","20:50.2","30th"
"Baylor","Gilmore, Brooke","SO-2","2017 Big 12 Cross Country Championship","Oct 28, 2017","6K","21:21.2","32nd"
"Baylor","Gilmore, Brooke","SO-2","Nuttycombe Wisconsin Invitational Presented By Under Armour","Oct 13, 2017","6K","21:37.3","140th"
"Baylor","Gilmore, Brooke","SO-2","Joe Piane Notre Dame Invitational","Sep 29, 2017","5K","17:46.0","77th"
"Baylor","Gilmore, Brooke","SO-2","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","18:40.7","4th"
"Baylor","Gilmore, Brooke","SO-2","SMU vs Baylor (Women)","Sep 01, 2017","4K","13:49.7","10th"
"Baylor","Gilmore, Brooke","SO-2","TCU vs Baylor","Sep 01, 2017","4K","13:49.7","11th"
"Baylor","Holmes, Celia","FR-1","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","6K","22:44.8","72nd"
"Baylor","Holmes, Celia","FR-1","Big 12 Cross Country Championships","Oct 26, 2018","6K","22:35.8","65th"
"Baylor","Holmes, Celia","FR-1","Wisconsin Pre Nationals","Oct 13, 2018","6K","22:37.3","180th"
"Baylor","Holmes, Celia","FR-1","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","18:29.1","100th"
"Baylor","Holmes, Celia","FR-1","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","19:01.4","5th"
"Baylor","Holmes, Celia","FR-1","Bear Twilight","Aug 31, 2018","4K","14:09.2","8th"
"Baylor","Holodak, Jamie","FR-1","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","20:13.7","13th"
"Baylor","Holodak, Jamie","FR-1","Bear Twilight","Aug 31, 2018","4K","15:21.2","37th"
"Baylor","Lackner, Isabella","JR-3","Arturo Barrios Invitational","Oct 13, 2018","6K","24:03.1","164th"
"Baylor","Lackner, Isabella","JR-3","Bear Twilight","Aug 31, 2018","4K","15:12.4","32nd"
"Baylor","Lackner, Isabella","JR-3","Michael Johnson Invitational","Apr 21, 2018","1500","5:09.23","23rd (F)"
"Baylor","Lackner, Isabella","JR-3","Baylor Invitational","Apr 7, 2018","3000","10:56.97","7th (F)"
"Baylor","Lackner, Isabella","JR-3","Aggieland Open","Oct 6, 2017","5K","21:05.5","32nd"
"Baylor","Lackner, Isabella","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","21:35.0","28th"
"Baylor","Lackner, Isabella","JR-3","Aggieland Open","Oct 7, 2016","5K","19:50.0","20th"
"Baylor","Lackner, Isabella","JR-3","Texas A&M Invitational","Sep 24, 2016","6K","23:06.0","76th"
"Baylor","Lackner, Isabella","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","19:59.1","32nd"
"Baylor","Lackner, Isabella","JR-3","Baylor vs SMU (Women)","Sep 1, 2016","4K","16:03.5","55th"
"Baylor","Larsen, Mazie","FR-1","Big 12 Cross Country Championships","Oct 26, 2018","6K","23:50.2","84th"
"Baylor","Larsen, Mazie","FR-1","Wisconsin Pre Nationals","Oct 13, 2018","6K","23:24.7","215th"
"Baylor","Larsen, Mazie","FR-1","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","19:07.6","138th"
"Baylor","Larsen, Mazie","FR-1","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","19:36.1","8th"
"Baylor","Larsen, Mazie","FR-1","Bear Twilight","Aug 31, 2018","4K","14:43.7","19th"
"Baylor","Marsheck, Hana","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","6K","23:37.6","108th"
"Baylor","Marsheck, Hana","JR-3","Big 12 Cross Country Championships","Oct 26, 2018","6K","22:45.3","68th"
"Baylor","Marsheck, Hana","JR-3","Arturo Barrios Invitational","Oct 13, 2018","6K","23:18.0","130th"
"Baylor","Marsheck, Hana","JR-3","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","19:00.2","132nd"
"Baylor","Marsheck, Hana","JR-3","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","19:21.2","7th"
"Baylor","Marsheck, Hana","JR-3","Bear Twilight","Aug 31, 2018","4K","15:02.2","27th"
"Baylor","Marsheck, Hana","JR-3","Michael Johnson Invitational","Apr 21, 2018","3000S","11:38.95","3rd (F)"
"Baylor","Marsheck, Hana","JR-3","Baylor Invitational","Apr 7, 2018","2000S","7:35.41","2nd (F)"
"Baylor","Marsheck, Hana","JR-3","Roadrunner Invitational","Mar 22-24, 2018","2000S","7:19.64","1st (F)"
"Baylor","Marsheck, Hana","JR-3","2018 TCU Invitational","Mar 16-17, 2018","1500","4:51.91","16th (F)"
"Baylor","Marsheck, Hana","JR-3","Big 12 Indoor Track & Field Championships","Feb 23-24, 2018","DMR","12:15.59","9th (F)"
"Baylor","Marsheck, Hana","JR-3","Tyson Invitational","Feb 9-10, 2018","Mile","5:14.36","8th (F)"
"Baylor","Marsheck, Hana","JR-3","Texas A&M Quadrangular","Jan 20, 2018","3000","10:33.69","14th (F)"
"Baylor","Marsheck, Hana","JR-3","Joe Piane Notre Dame Invitational","Sep 29, 2017","5K","19:06.2","148th"
"Baylor","Marsheck, Hana","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","19:39.7","10th"
"Baylor","Marsheck, Hana","JR-3","SMU vs Baylor (Women)","Sep 1, 2017","4K","14:33.1","20th"
"Baylor","Marsheck, Hana","JR-3","TCU vs Baylor","Sep 1, 2017","4K","14:33.1","21st"
"Baylor","Marsheck, Hana","JR-3","Michael Johnson Invitational","Apr 22, 2017","5000","18:54.19","20th (F)"
"Baylor","Marsheck, Hana","JR-3","Baylor Invitational","Apr 8, 2017","3000","10:36.37","5th (F)"
"Baylor","Marsheck, Hana","JR-3","2017 TCU Invitational","Mar 17-18, 2017","3000","10:56.97","16th (F)"
"Baylor","Marsheck, Hana","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 11, 2016","6K","24:03.5","113rd"
"Baylor","Marsheck, Hana","JR-3","2016 Big 12 Cross Country Championships","Oct 29, 2016","6K","23:35.5","77th"
"Baylor","Marsheck, Hana","JR-3","Nuttycombe Wisconsin Invitational B Race","Oct 14, 2016","6K","23:30.8","103rd"
"Baylor","Marsheck, Hana","JR-3","Joe Piane Invitational","Sep 30, 2016","5K","18:47.9","176th"
"Baylor","Marsheck, Hana","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","19:10.2","13th"
"Baylor","Marsheck, Hana","JR-3","Baylor vs SMU (Women)","Sep 1, 2016","4K","14:55.6","21st"
"Baylor","Miller, Aaliyah","SO-2","Arturo Barrios Invitational","Oct 13, 2018","6K","22:55.9","109th"
"Baylor","Miller, Aaliyah","SO-2","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5K","18:36.8","110th"
"Baylor","Miller, Aaliyah","SO-2","NCAA Division I Outdoor Championships","Jun 6-9, 2018","4x400","3:30.03","5th (P)"
"Baylor","Miller, Aaliyah","SO-2","NCAA West Preliminary Round","May 24-26, 2018","4x400","3:31.34","3rd (P)"
"Baylor","Miller, Aaliyah","SO-2","Big 12 Conference Outdoor Track and Field Championships","May 11-13, 2018","4x400","3:30.42","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","National Relay Championships","Apr 27-28, 2018","1600SMR","3:42.11","2nd (F)"
"Baylor","Miller, Aaliyah","SO-2","Michael Johnson Invitational","Apr 21, 2018","4x400","3:32.86","2nd (F)"
"Baylor","Miller, Aaliyah","SO-2","Baylor Invitational","Apr 7, 2018","400","55.70","5th (F)"
"Baylor","Miller, Aaliyah","SO-2","Home Depot Clyde Littlefield Texas Relays","Mar 28-31, 2018","1600SMR","3:43.87","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","Roadrunner Invitational","Mar 22-24, 2018","4x400","3:35.44","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","2018 TCU Invitational","Mar 16-17, 2018","400","55.48","7th (F)"
"Baylor","Miller, Aaliyah","SO-2","Big 12 Indoor Track & Field Championships","Feb 23-24, 2018","4x400","3:36.33","2nd (F)"
"Baylor","Miller, Aaliyah","SO-2","Iowa State Classic","Feb 9-10, 2018","800","2:05.22","3rd (F)"
"Baylor","Miller, Aaliyah","SO-2","Michigan Power 5 Invitational","Feb 2-3, 2018","DMR","11:12.38","5th (F)"
"Baylor","Miller, Aaliyah","SO-2","Texas A&M Quadrangular","Jan 20, 2018","4x400","3:35.63","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","Corky Classic","Jan 13, 2018","4x400","3:37.80","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","Big 12 Indoor Track & Field Championships","Feb 24-25, 2017","1000","2:49.11","7th (P)"
"Baylor","Miller, Aaliyah","SO-2","Iowa State Classic","Feb 10-11, 2017","800","2:02.89","2nd (F)"
"Baylor","Miller, Aaliyah","SO-2","Charlie Thomas Invitational","Feb 3-4, 2017","4x400","3:33.63","2nd (F)"
"Baylor","Miller, Aaliyah","SO-2","2017 Rod McCravy Memorial T&F Meet","Jan 20-21, 2017","DMR","11:12.39","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","Texas A&M Team Invitational","Jan 13-14, 2017","4x400","3:34.00","1st (F)"
"Baylor","Miller, Aaliyah","SO-2","2016 Big 12 Cross Country Championships","Oct 29, 2016","6K","DNF","91st"
"Baylor","Miller, Aaliyah","SO-2","Joe Piane Invitational","Sep 30, 2016","5K","18:28.9","162nd"
"Baylor","Miller, Aaliyah","SO-2","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","19:13.1","14th"
"Baylor","Miller, Aaliyah","SO-2","Baylor vs SMU (Women)","Sep 1, 2016","4K","15:01.8","22nd"
"Baylor","Parsons, Katy","SO-2","Big 12 Cross Country Championships","Oct 26, 2018","6K","23:19.7","79th"
"Baylor","Parsons, Katy","SO-2","Arturo Barrios Invitational","Oct 13, 2018","6K","23:51.6","153rd"
"Baylor","Parsons, Katy","SO-2","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","19:44.3","9th"
"Baylor","Parsons, Katy","SO-2","Bear Twilight","Aug 31, 2018","4K","14:57.4","23rd"
"Baylor","Parsons, Katy","SO-2","Big 12 Conference Outdoor Track and Field Championships","May 11-13, 2018","800","2:17.93","23rd (P)"
"Baylor","Parsons, Katy","SO-2","Michael Johnson Invitational","Apr 21, 2018","800","2:16.70","14th (F)"
"Baylor","Parsons, Katy","SO-2","Baylor Invitational","Apr 7, 2018","800","2:21.81","10th (F)"
"Baylor","Parsons, Katy","SO-2","North Texas Ken Garland Invitational","Sep 16, 2017","3.12M","22:02.2","32nd"
"Baylor","Parsons, Katy","SO-2","SMU vs Baylor (Women)","Sep 1, 2017","4K","16:04.8","58th"
"Baylor","Parsons, Katy","SO-2","TCU vs Baylor","Sep 1, 2017","4K","16:04.8","59th"
"Baylor","Parsons, Katy","SO-2","Michael Johnson Invitational","Apr 22, 2017","800","2:23.91","24th (F)"
"Baylor","Parsons, Katy","SO-2","Baylor Invitational","Apr 8, 2017","800","2:25.75","17th (F)"
"Baylor","Parsons, Katy","SO-2","Texas A&M Invitational","Sep 24, 2016","6K","25:44.8","142nd"
"Baylor","Parsons, Katy","SO-2","North Texas Ken Garland Inivitational","Sep 17, 2016","3.12M","21:33.8","58th"
"Baylor","Parsons, Katy","SO-2","Baylor vs SMU (Women)","Sep 1, 2016","4K","16:39.1","67th"
"Baylor","Rule, Megan","JR-3","Michael Johnson Invitational","Apr 21, 2018","3000S","12:05.45","6th (F)"
"Baylor","Rule, Megan","JR-3","Baylor Invitational","Apr 7, 2018","2000S","7:47.08","7th (F)"
