"selection1_name","selection1_selection2_name","selection1_selection2_year","selection1_selection2_selection3_name","selection1_selection2_selection3_Date","selection1_selection2_selection3_Event","selection1_selection2_selection3_Time","selection1_selection2_selection3_Place"
"Baylor","Brown, Seth","JR-3","Big 12 Cross Country Championships","Oct 26, 2018","8K","27:05.4","68th"
"Baylor","Brown, Seth","JR-3","Arturo Barrios Invitational","Oct 13, 2018","8K","27:35.6","170th"
"Baylor","Brown, Seth","JR-3","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","16:25.2","15th"
"Baylor","Brown, Seth","JR-3","Michael Johnson Invitational","Apr 21, 2018","5000","15:57.92","11th (F)"
"Baylor","Brown, Seth","JR-3","Baylor Invitational","Apr 7, 2018","3000","9:09.57","9th (F)"
"Baylor","Brown, Seth","JR-3","2017 Big 12 Cross Country Championship","Oct 28, 2017","8K","DNF","84th"
"Baylor","Brown, Seth","JR-3","Aggieland Open","Oct 6, 2017","5K","16:13.8","19th"
"Baylor","Brown, Seth","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","4M","22:09.4","24th"
"Baylor","Brown, Seth","JR-3","North Texas vs Baylor (Men)","Sep 1, 2017","6K","19:09.9","18th"
"Baylor","Brown, Seth","JR-3","TCU vs Baylor","Sep 1, 2017","6K","19:09.9","22nd"
"Baylor","Brown, Seth","JR-3","Michael Johnson Invitational","Apr 22, 2017","1500","4:10.22","15th (F)"
"Baylor","Brown, Seth","JR-3","Baylor Invitational","Apr 8, 2017","4x400","3:32.57","12th (F)"
"Baylor","Brown, Seth","JR-3","Roadrunner Invitational","Mar 23-25, 2017","1500","4:11.63","7th (F)"
"Baylor","Brown, Seth","JR-3","Charlie Thomas Invitational","Feb 3-4, 2017","3000","8:46.58","9th (F)"
"Baylor","Brown, Seth","JR-3","Texas A&M Team Invitational","Jan 13-14, 2017","3000","8:49.11","18th (F)"
"Baylor","Brown, Seth","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 13, 2015","10K","32:59.8","101st"
"Baylor","Brown, Seth","JR-3","Big 12 Cross Country Championships","Oct 31, 2015","8K","26:20.2","53rd"
"Baylor","Brown, Seth","JR-3","Chile Pepper Festival","Oct 2-3, 2015","8K","25:33.2","95th"
"Baylor","Brown, Seth","JR-3","Stanford Invitational","Sep 26, 2015","8K","25:26.9","102nd"
"Baylor","Brown, Seth","JR-3","Gerald Richey Cross Country Invitational","Sep 19, 2015","3.12M","15:24.7","8th"
"Baylor","Brown, Seth","JR-3","Ken Garland Invitational","Sep 12, 2015","4K","20:34.8","23rd"
"Baylor","Day, Ryan","FR-1","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","10K","35:24.4","122nd"
"Baylor","Day, Ryan","FR-1","Big 12 Cross Country Championships","Oct 26, 2018","8K","26:26.9","58th"
"Baylor","Henderson, Matt","JR-3","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","10K","38:06.9","157th"
"Baylor","Henderson, Matt","JR-3","Big 12 Cross Country Championships","Oct 26, 2018","8K","25:59.2","55th"
"Baylor","Henderson, Matt","JR-3","Arturo Barrios Invitational","Oct 13, 2018","8K","28:46.9","207th"
"Baylor","Henderson, Matt","JR-3","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","25:56.9","54th"
"Baylor","Henderson, Matt","JR-3","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","16:12.5","9th"
"Baylor","Henderson, Matt","JR-3","Bear Twilight","Aug 31, 2018","6K","18:42.0","7th"
"Baylor","Henderson, Matt","JR-3","Baylor Invitational","Apr 7, 2018","2000S","6:28.72","2nd (F)"
"Baylor","Henderson, Matt","JR-3","Roadrunner Invitational","Mar 22-24, 2018","2000S","6:14.92","5th (F)"
"Baylor","Henderson, Matt","JR-3","2018 TCU Invitational","Mar 16-17, 2018","3000","8:57.39","5th (F)"
"Baylor","Henderson, Matt","JR-3","Aggieland Open","Oct 6, 2017","5K","16:26.4","26th"
"Baylor","Henderson, Matt","JR-3","North Texas Ken Garland Invitational","Sep 16, 2017","4M","22:34.2","28th"
"Baylor","Henderson, Matt","JR-3","Big 12 Outdoor Track & Field Championships","May 12-14, 2017","1500","4:01.57","19th (P)"
"Baylor","Henderson, Matt","JR-3","Michael Johnson Invitational","Apr 22, 2017","1500","4:00.30","8th (F)"
"Baylor","Henderson, Matt","JR-3","Baylor Invitational","Apr 8, 2017","4x400","3:32.57","12th (F)"
"Baylor","Henderson, Matt","JR-3","Roadrunner Invitational","Mar 23-25, 2017","1500","4:06.87","5th (F)"
"Baylor","Henderson, Matt","JR-3","2017 TCU Invitational","Mar 17-18, 2017","1500","4:02.77","7th (F)"
"Baylor","Henderson, Matt","JR-3","2016 Big 12 Cross Country Championships","Oct 29, 2016","8K","28:33.3","73rd"
"Baylor","Henderson, Matt","JR-3","Joe Piane Invitational","Sep 30, 2016","5M","26:08.5","182nd"
"Baylor","Henderson, Matt","JR-3","North Texas Ken Garland Inivitational","Sep 17, 2016","4M","21:26.1","28th"
"Baylor","Huff, Henry","SR-4","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","10K","35:11.6","115th"
"Baylor","Huff, Henry","SR-4","Big 12 Cross Country Championships","Oct 26, 2018","8K","26:18.6","56th"
"Baylor","Huff, Henry","SR-4","Arturo Barrios Invitational","Oct 13, 2018","8K","26:41.9","131st"
"Baylor","Huff, Henry","SR-4","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","27:58.2","101st"
"Baylor","Huff, Henry","SR-4","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","16:15.3","14th"
"Baylor","Huff, Henry","SR-4","Bear Twilight","Aug 31, 2018","6K","19:16.0","28th"
"Baylor","Huff, Henry","SR-4","Roadrunner Invitational","Mar 22-24, 2018","3000","9:10.79","4th (F)"
"Baylor","Huff, Henry","SR-4","2018 TCU Invitational","Mar 16-17, 2018","3000","9:10.14","9th (F)"
"Baylor","Huff, Henry","SR-4","North Texas vs Baylor (Men)","Sep 1, 2017","6K","20:30.9","35th"
"Baylor","Huff, Henry","SR-4","TCU vs Baylor","Sep 1, 2017","6K","20:30.9","45th"
"Baylor","Huff, Henry","SR-4","Michael Johnson Invitational","Apr 22, 2017","5000","15:35.11","10th (F)"
"Baylor","Huff, Henry","SR-4","Baylor Invitational","Apr 8, 2017","3000","9:01.56","8th (F)"
"Baylor","Huff, Henry","SR-4","2017 TCU Invitational","Mar 17-18, 2017","3000","9:17.34","5th (F)"
"Baylor","Huff, Henry","SR-4","2016 Big 12 Cross Country Championships","Oct 29, 2016","8K","28:12.6","70th"
"Baylor","Huff, Henry","SR-4","Joe Piane Invitational","Sep 30, 2016","5M","26:08.8","183rd"
"Baylor","Huff, Henry","SR-4","North Texas Ken Garland Inivitational","Sep 17, 2016","4M","20:39.8","12th"
"Baylor","Huff, Henry","SR-4","Baylor vs North Texas (Men)","Sep 1, 2016","4K","12:33.3","14th"
"Baylor","Huff, Henry","SR-4","Baylor vs. TCU (Men)","Sep 1, 2016","4K","12:33.3","14th"
"Baylor","Huff, Henry","SR-4","Big 12 Cross Country Championships","Oct 31, 2015","8K","27:18.8","72nd"
"Baylor","Huff, Henry","SR-4","Chile Pepper Festival","Oct 2-3, 2015","8K","25:54.2","136th"
"Baylor","Huff, Henry","SR-4","Stanford Invitational","Sep 26, 2015","8K","25:48.2","133rd"
"Baylor","Huff, Henry","SR-4","Gerald Richey Cross Country Invitational","Sep 19, 2015","3.12M","15:44.2","12th"
"Baylor","Huff, Henry","SR-4","Ken Garland Invitational","Sep 12, 2015","4K","20:52.0","28th"
"Baylor","Johnston, Cal","FR-1","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","26:25.6","75th"
"Baylor","Johnston, Cal","FR-1","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","16:14.8","11th"
"Baylor","Johnston, Cal","FR-1","Bear Twilight","Aug 31, 2018","6K","19:10.4","24th"
"Baylor","Kirwin, Jeff","SR-4","Big 12 Cross Country Championships","Oct 26, 2018","8K","27:04.2","67th"
"Baylor","Kirwin, Jeff","SR-4","Arturo Barrios Invitational","Oct 13, 2018","8K","28:18.9","200th"
"Baylor","Kirwin, Jeff","SR-4","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","27:01.9","90th"
"Baylor","Kirwin, Jeff","SR-4","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","16:14.9","12th"
"Baylor","Kirwin, Jeff","SR-4","Bear Twilight","Aug 31, 2018","6K","19:33.3","34th"
"Baylor","Kirwin, Jeff","SR-4","Baylor Invitational","Apr 8, 2017","3000","9:06.75","12th (F)"
"Baylor","Kirwin, Jeff","SR-4","2017 TCU Invitational","Mar 17-18, 2017","3000","9:24.63","7th (F)"
"Baylor","Kirwin, Jeff","SR-4","NCAA Division I South Central Region Cross Country Championships","Nov 11, 2016","10K","34:36.9","126th"
"Baylor","Kirwin, Jeff","SR-4","2016 Big 12 Cross Country Championships","Oct 29, 2016","8K","27:25.3","60th"
"Baylor","Kirwin, Jeff","SR-4","Joe Piane Invitational","Sep 30, 2016","5M","25:44.9","172nd"
"Baylor","Kirwin, Jeff","SR-4","North Texas Ken Garland Inivitational","Sep 17, 2016","4M","20:36.4","9th"
"Baylor","Kirwin, Jeff","SR-4","Baylor vs North Texas (Men)","Sep 1, 2016","4K","12:29.8","10th"
"Baylor","Kirwin, Jeff","SR-4","Baylor vs. TCU (Men)","Sep 1, 2016","4K","12:29.8","10th"
"Baylor","Kirwin, Jeff","SR-4","Charlie Thomas Invitational","Feb 5-6, 2016","3000","8:57.39","26th (F)"
"Baylor","Kirwin, Jeff","SR-4","Texas A&M Team Invitational","Jan 15-16, 2016","3000","9:01.99","20th (F)"
"Baylor","Laktasic, Connor","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 9, 2018","10K","33:47.1","70th"
"Baylor","Laktasic, Connor","SO-2","Big 12 Cross Country Championships","Oct 26, 2018","8K","25:29.3","34th"
"Baylor","Laktasic, Connor","SO-2","Arturo Barrios Invitational","Oct 13, 2018","8K","25:48.9","66th"
"Baylor","Laktasic, Connor","SO-2","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","26:10.1","65th"
"Baylor","Laktasic, Connor","SO-2","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","15:57.3","5th"
"Baylor","Laktasic, Connor","SO-2","Bear Twilight","Aug 31, 2018","6K","18:35.3","4th"
"Baylor","Laktasic, Connor","SO-2","Michael Johnson Invitational","Apr 21, 2018","5000","15:33.09","8th (F)"
"Baylor","Laktasic, Connor","SO-2","Baylor Invitational","Apr 7, 2018","3000","9:13.00","11th (F)"
"Baylor","Laktasic, Connor","SO-2","2017 Big 12 Cross Country Championship","Oct 28, 2017","8K","25:56.2","65th"
"Baylor","Laktasic, Connor","SO-2","Joe Piane Notre Dame Invitational","Sep 29, 2017","5M","26:01.2","146th"
"Baylor","Laktasic, Connor","SO-2","North Texas Ken Garland Invitational","Sep 16, 2017","4M","21:38.1","18th"
"Baylor","McCullough, Sean","SR-4","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","17:15.7","19th"
"Baylor","McCullough, Sean","SR-4","2017 Big 12 Cross Country Championship","Oct 28, 2017","8K","25:49.2","63rd"
"Baylor","McCullough, Sean","SR-4","Aggieland Open","Oct 6, 2017","5K","16:17.2","21st"
"Baylor","McCullough, Sean","SR-4","Joe Piane Notre Dame Invitational","Sep 29, 2017","5M","27:13.5","167th"
"Baylor","McCullough, Sean","SR-4","North Texas Ken Garland Invitational","Sep 16, 2017","4M","21:36.4","17th"
"Baylor","McCullough, Sean","SR-4","North Texas vs Baylor (Men)","Sep 1, 2017","6K","19:02.1","15th"
"Baylor","McCullough, Sean","SR-4","TCU vs Baylor","Sep 1, 2017","6K","19:02.1","18th"
"Baylor","McCullough, Sean","SR-4","Michael Johnson Invitational","Apr 22, 2017","5000","15:19.51","7th (F)"
"Baylor","McCullough, Sean","SR-4","Baylor Invitational","Apr 8, 2017","3000","9:00.53","6th (F)"
"Baylor","McCullough, Sean","SR-4","Roadrunner Invitational","Mar 23-25, 2017","3000","8:56.61","4th (F)"
"Baylor","McCullough, Sean","SR-4","2017 TCU Invitational","Mar 17-18, 2017","3000","9:05.97","3rd (F)"
"Baylor","McCullough, Sean","SR-4","2016 Big 12 Cross Country Championships","Oct 29, 2016","8K","27:48.9","65th"
"Baylor","McCullough, Sean","SR-4","Joe Piane Invitational","Sep 30, 2016","5M","26:22.8","190th"
"Baylor","McCullough, Sean","SR-4","North Texas Ken Garland Inivitational","Sep 17, 2016","4M","20:45.8","14th"
"Baylor","McCullough, Sean","SR-4","Baylor vs North Texas (Men)","Sep 1, 2016","4K","12:40.1","19th"
"Baylor","McCullough, Sean","SR-4","Baylor vs. TCU (Men)","Sep 1, 2016","4K","12:40.1","19th"
"Baylor","McCullough, Sean","SR-4","Big 12 Cross Country Championships","Oct 31, 2015","8K","27:23.6","74th"
"Baylor","McCullough, Sean","SR-4","Chile Pepper Festival","Oct 2-3, 2015","8K","26:09.5","167th"
"Baylor","McCullough, Sean","SR-4","Gerald Richey Cross Country Invitational","Sep 19, 2015","3.12M","16:03.4","14th"
"Baylor","McCullough, Sean","SR-4","Ken Garland Invitational","Sep 12, 2015","4K","20:59.1","29th"
"Baylor","Meadows, Jeremy","SO-2","2018 Joe Piane - Notre Dame Invitational","Sep 28, 2018","5M","26:17.6","68th"
"Baylor","Meadows, Jeremy","SO-2","UTA Gerald Richey Invitational","Sep 7, 2018","3.12M","15:38.5","3rd"
"Baylor","Meadows, Jeremy","SO-2","Bear Twilight","Aug 31, 2018","6K","18:17.2","1st"
"Baylor","Meadows, Jeremy","SO-2","Michael Johnson Invitational","Apr 21, 2018","5000","15:28.58","6th (F)"
"Baylor","Meadows, Jeremy","SO-2","Baylor Invitational","Apr 7, 2018","3000","8:55.42","3rd (F)"
"Baylor","Meadows, Jeremy","SO-2","Home Depot Clyde Littlefield Texas Relays","Mar 28-31, 2018","DMR","10:03.66","10th (F)"
"Baylor","Meadows, Jeremy","SO-2","Roadrunner Invitational","Mar 22-24, 2018","1500","4:04.26","6th (F)"
"Baylor","Meadows, Jeremy","SO-2","2018 TCU Invitational","Mar 16-17, 2018","3000","8:59.04","7th (F)"
"Baylor","Meadows, Jeremy","SO-2","Big 12 Indoor Track & Field Championships","Feb 23-24, 2018","DMR","10:21.67","8th (F)"
"Baylor","Meadows, Jeremy","SO-2","Michigan Power 5 Invitational","Feb 2-3, 2018","3000","8:39.18","17th (F)"
"Baylor","Meadows, Jeremy","SO-2","Texas A&M Quadrangular","Jan 20, 2018","Mile","4:18.81","7th (F)"
"Baylor","Meadows, Jeremy","SO-2","Corky Classic","Jan 13, 2018","3000","8:44.14","5th (F)"
"Baylor","Meadows, Jeremy","SO-2","NCAA Division I South Central Region Cross Country Championships","Nov 10, 2017","10K","32:32.6","100th"
